None,A,C,E+F+G,E+F,E+G,F+G,ignore,ignore,ignore,perfect
0.303030,0.312500,0.312500,0.312500,0.312500,0.312500,0.312500,-1.000000,-1.000000,-1.000000,0.312500
0.222222,0.222222,0.222222,0.208333,0.208333,0.208333,0.208333,-1.000000,-1.000000,-1.000000,0.208333
0.185185,0.166667,0.166667,0.181818,0.181818,0.181818,0.181818,-1.000000,-1.000000,-1.000000,0.181818
0.317073,0.325000,0.351351,0.400000,0.400000,0.400000,0.400000,-1.000000,-1.000000,-1.000000,0.428571
0.095238,0.095238,0.105263,0.105263,0.105263,0.105263,0.105263,-1.000000,-1.000000,-1.000000,0.105263
0.233333,0.233333,0.250000,0.250000,0.250000,0.250000,0.250000,-1.000000,-1.000000,-1.000000,0.250000
0.307692,0.307692,0.323529,0.333333,0.333333,0.333333,0.333333,-1.000000,-1.000000,-1.000000,0.322581
0.185185,0.185185,0.181818,0.181818,0.181818,0.181818,0.181818,-1.000000,-1.000000,-1.000000,0.181818
0.281250,0.281250,0.321429,0.346154,0.333333,0.346154,0.346154,-1.000000,-1.000000,-1.000000,0.333333
0.272727,0.264706,0.272727,0.181818,0.181818,0.181818,0.181818,-1.000000,-1.000000,-1.000000,0.181818
0.357143,0.357143,0.378378,0.423077,0.392857,0.423077,0.423077,-1.000000,-1.000000,-1.000000,0.440000
0.052632,0.052632,0.052632,0.052632,0.052632,0.052632,0.052632,-1.000000,-1.000000,-1.000000,0.052632
0.250000,0.250000,0.217391,0.217391,0.217391,0.217391,0.217391,-1.000000,-1.000000,-1.000000,0.217391
0.090909,0.090909,0.105263,0.105263,0.105263,0.105263,0.105263,-1.000000,-1.000000,-1.000000,0.105263
