None,A,C,E+F+G,E+F,E+G,F+G,ignore,ignore,ignore,perfect
24,23,21,21,21,21,21,-1,-1,-1,21
42,43,21,21,21,21,21,-1,-1,-1,21
27,24,21,21,21,21,21,-1,-1,-1,21
25,21,18,18,18,18,18,-1,-1,-1,18
44,39,22,22,22,22,22,-1,-1,-1,22
32,23,23,23,23,23,23,-1,-1,-1,23
34,34,34,25,25,25,25,-1,-1,-1,25
30,25,19,19,19,19,19,-1,-1,-1,19
38,36,27,25,25,25,25,-1,-1,-1,25
37,26,20,20,20,20,20,-1,-1,-1,20
19,19,17,17,17,17,17,-1,-1,-1,17
36,33,26,27,60,27,27,-1,-1,-1,26
26,25,21,21,21,21,21,-1,-1,-1,21
31,25,23,23,23,23,23,-1,-1,-1,22
43,44,39,24,25,24,24,-1,-1,-1,24
28,24,24,24,24,24,24,-1,-1,-1,24
35,35,20,20,20,20,20,-1,-1,-1,20
37,34,34,25,25,25,25,-1,-1,-1,25
27,22,22,22,22,22,22,-1,-1,-1,22
44,31,45,29,39,29,29,-1,-1,-1,29
29,26,23,23,23,23,23,-1,-1,-1,23
44,30,23,23,23,23,23,-1,-1,-1,23
36,35,29,29,29,29,29,-1,-1,-1,28
36,29,24,21,21,21,21,-1,-1,-1,21
24,22,22,22,22,22,22,-1,-1,-1,19
42,29,23,23,23,23,23,-1,-1,-1,23
42,36,32,32,32,32,32,-1,-1,-1,26
38,36,31,31,31,31,31,-1,-1,-1,31
34,43,35,27,27,27,27,-1,-1,-1,27
32,26,22,22,22,22,22,-1,-1,-1,22
25,18,18,18,18,18,18,-1,-1,-1,18
42,38,26,26,26,26,26,-1,-1,-1,26
45,25,23,20,23,20,20,-1,-1,-1,20
42,41,32,31,31,31,31,-1,-1,-1,31
26,23,23,23,23,23,23,-1,-1,-1,23
31,17,17,17,17,17,17,-1,-1,-1,17
29,23,22,20,20,20,20,-1,-1,-1,20
36,34,27,27,27,27,27,-1,-1,-1,24
24,22,22,22,22,22,22,-1,-1,-1,22
35,32,30,29,29,29,29,-1,-1,-1,29
33,24,20,20,20,20,20,-1,-1,-1,20
38,27,25,25,25,25,25,-1,-1,-1,25
46,30,28,24,24,24,24,-1,-1,-1,24
27,27,19,19,19,19,19,-1,-1,-1,19
43,26,21,19,19,19,19,-1,-1,-1,19
26,20,18,18,18,18,18,-1,-1,-1,18
24,18,18,18,18,18,18,-1,-1,-1,18
33,29,23,23,23,23,23,-1,-1,-1,23
29,27,27,24,24,24,24,-1,-1,-1,20
34,32,33,29,30,29,29,-1,-1,-1,29
43,38,28,26,26,26,26,-1,-1,-1,22
36,25,21,21,21,21,21,-1,-1,-1,21
31,24,24,24,24,24,24,-1,-1,-1,24
29,25,20,20,20,20,20,-1,-1,-1,20
54,46,26,26,26,26,26,-1,-1,-1,26
