None,A,C,E+F+G,E+F,E+G,F+G,ignore,ignore,ignore,perfect
36,34,31,29,29,29,29,-1,-1,-1,27
52,52,36,30,32,30,30,-1,-1,-1,24
24,20,20,20,20,20,20,-1,-1,-1,18
45,36,21,21,21,23,23,-1,-1,-1,21
27,24,24,23,23,23,23,-1,-1,-1,23
55,33,28,26,26,26,26,-1,-1,-1,26
24,20,20,20,20,21,21,-1,-1,-1,20
30,28,27,26,26,26,26,-1,-1,-1,26
33,30,25,23,24,23,23,-1,-1,-1,23
26,25,21,21,21,21,21,-1,-1,-1,21
58,30,29,28,28,29,29,-1,-1,-1,28
35,29,31,29,29,29,29,-1,-1,-1,24
47,48,22,21,21,21,21,-1,-1,-1,21
53,49,47,29,30,30,30,-1,-1,-1,29
39,28,24,24,24,24,24,-1,-1,-1,24
27,20,20,20,20,20,20,-1,-1,-1,20
58,60,51,41,41,42,41,-1,-1,-1,36
43,31,25,22,22,22,22,-1,-1,-1,22
31,27,22,22,22,22,22,-1,-1,-1,22
33,32,32,31,31,31,31,-1,-1,-1,31
41,32,22,22,22,22,22,-1,-1,-1,22
24,22,22,22,22,22,22,-1,-1,-1,22
27,22,18,18,18,18,18,-1,-1,-1,18
34,33,27,26,26,26,26,-1,-1,-1,26
28,24,22,22,22,22,22,-1,-1,-1,22
36,28,28,27,28,27,27,-1,-1,-1,27
33,29,25,25,25,27,27,-1,-1,-1,25
51,48,33,33,33,33,33,-1,-1,-1,31
29,23,21,21,21,21,21,-1,-1,-1,21
51,55,29,29,29,29,29,-1,-1,-1,29
37,34,33,33,33,33,33,-1,-1,-1,33
31,28,28,21,21,21,21,-1,-1,-1,21
36,24,23,23,23,23,23,-1,-1,-1,23
37,27,24,20,20,20,20,-1,-1,-1,20
39,38,31,30,30,30,30,-1,-1,-1,30
29,22,20,20,20,20,20,-1,-1,-1,20
47,43,30,28,28,28,28,-1,-1,-1,28
30,24,21,21,21,21,21,-1,-1,-1,21
35,39,26,26,26,26,26,-1,-1,-1,26
28,27,23,23,23,23,23,-1,-1,-1,23
27,21,20,20,20,20,20,-1,-1,-1,20
31,32,26,25,25,25,25,-1,-1,-1,25
37,27,26,26,26,26,26,-1,-1,-1,26
46,41,30,28,28,28,28,-1,-1,-1,28
34,32,20,20,20,20,20,-1,-1,-1,20
20,20,18,18,18,18,18,-1,-1,-1,18
30,18,18,18,18,18,18,-1,-1,-1,18
42,38,26,23,24,23,23,-1,-1,-1,23
28,29,28,20,20,21,20,-1,-1,-1,20
33,31,29,29,29,29,29,-1,-1,-1,29
41,25,22,19,19,19,19,-1,-1,-1,19
38,38,38,29,29,33,29,-1,-1,-1,26
31,29,23,23,23,24,24,-1,-1,-1,23
43,40,23,23,23,24,24,-1,-1,-1,23
41,37,39,22,27,22,22,-1,-1,-1,21
35,32,25,19,19,19,19,-1,-1,-1,19
26,21,21,21,21,21,21,-1,-1,-1,21
50,47,40,31,34,31,31,-1,-1,-1,31
31,23,25,19,19,19,19,-1,-1,-1,19
36,30,23,23,23,23,23,-1,-1,-1,23
48,45,27,27,27,27,27,-1,-1,-1,27
