None,A,C,E+F+G,E+F,E+G,F+G,ignore,ignore,ignore,perfect
0.222222,0.230769,0.240000,0.240000,0.240000,0.240000,0.240000,-1.000000,-1.000000,-1.000000,0.285714
0.400000,0.392157,0.411765,0.393939,0.393939,0.393939,0.393939,-1.000000,-1.000000,-1.000000,0.393939
0.095238,0.058824,0.058824,0.058824,0.058824,0.058824,0.058824,-1.000000,-1.000000,-1.000000,0.058824
0.294118,0.250000,0.200000,0.200000,0.200000,0.200000,0.200000,-1.000000,-1.000000,-1.000000,0.210526
0.281250,0.290323,0.310345,0.310345,0.310345,0.310345,0.310345,-1.000000,-1.000000,-1.000000,0.310345
0.315789,0.354839,0.354839,0.318182,0.318182,0.318182,0.318182,-1.000000,-1.000000,-1.000000,0.318182
0.309524,0.342105,0.333333,0.333333,0.333333,0.333333,0.333333,-1.000000,-1.000000,-1.000000,0.333333
0.324324,0.333333,0.318182,0.318182,0.318182,0.375000,0.375000,-1.000000,-1.000000,-1.000000,0.318182
0.342105,0.310345,0.320000,0.347826,0.320000,0.347826,0.347826,-1.000000,-1.000000,-1.000000,0.347826
0.333333,0.363636,0.375000,0.333333,0.318182,0.333333,0.333333,-1.000000,-1.000000,-1.000000,0.333333
0.380000,0.391304,0.300000,0.310345,0.310345,0.300000,0.310345,-1.000000,-1.000000,-1.000000,0.310345
0.375000,0.379310,0.407407,0.384615,0.384615,0.384615,0.384615,-1.000000,-1.000000,-1.000000,0.384615
0.392857,0.315789,0.222222,0.222222,0.222222,0.222222,0.222222,-1.000000,-1.000000,-1.000000,0.222222
0.380000,0.371429,0.366667,0.366667,0.366667,0.366667,0.366667,-1.000000,-1.000000,-1.000000,0.375000
0.277778,0.275862,0.272727,0.272727,0.272727,0.272727,0.272727,-1.000000,-1.000000,-1.000000,0.272727
0.350000,0.400000,0.347826,0.318182,0.333333,0.318182,0.333333,-1.000000,-1.000000,-1.000000,0.318182
0.250000,0.291667,0.350000,0.350000,0.350000,0.350000,0.350000,-1.000000,-1.000000,-1.000000,0.350000
0.258065,0.275862,0.304348,0.304348,0.304348,0.304348,0.304348,-1.000000,-1.000000,-1.000000,0.304348
0.206897,0.230769,0.260870,0.260870,0.260870,0.260870,0.260870,-1.000000,-1.000000,-1.000000,0.260870
0.305556,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,-1.000000,-1.000000,-1.000000,0.200000
0.333333,0.321429,0.321429,0.320000,0.320000,0.320000,0.320000,-1.000000,-1.000000,-1.000000,0.333333
0.233333,0.280000,0.285714,0.285714,0.285714,0.285714,0.285714,-1.000000,-1.000000,-1.000000,0.285714
0.214286,0.217391,0.250000,0.250000,0.250000,0.250000,0.250000,-1.000000,-1.000000,-1.000000,0.250000
0.150000,0.142857,0.157895,0.157895,0.157895,0.157895,0.157895,-1.000000,-1.000000,-1.000000,0.157895
0.206897,0.181818,0.181818,0.210526,0.210526,0.210526,0.210526,-1.000000,-1.000000,-1.000000,0.210526
0.160000,0.181818,0.157895,0.166667,0.166667,0.166667,0.166667,-1.000000,-1.000000,-1.000000,0.166667
0.341463,0.351351,0.375000,0.375000,0.375000,0.375000,0.375000,-1.000000,-1.000000,-1.000000,0.375000
0.095238,0.095238,0.100000,0.117647,0.117647,0.117647,0.117647,-1.000000,-1.000000,-1.000000,0.117647
0.372093,0.343750,0.379310,0.379310,0.379310,0.379310,0.379310,-1.000000,-1.000000,-1.000000,0.379310
0.307692,0.305556,0.323529,0.347826,0.347826,0.347826,0.347826,-1.000000,-1.000000,-1.000000,0.347826
0.242424,0.250000,0.258065,0.291667,0.291667,0.291667,0.291667,-1.000000,-1.000000,-1.000000,0.318182
-1.000000,0.431373,0.380952,0.380952,0.380952,0.392857,0.392857,-1.000000,-1.000000,-1.000000,0.380952
0.379310,0.361111,0.300000,0.300000,0.300000,0.272727,0.272727,-1.000000,-1.000000,-1.000000,0.300000
0.258065,0.285714,0.269231,0.285714,0.285714,0.285714,0.285714,-1.000000,-1.000000,-1.000000,0.285714
0.052632,0.058824,0.058824,0.058824,0.058824,0.058824,0.058824,-1.000000,-1.000000,-1.000000,0.058824
0.206897,0.222222,0.210526,0.210526,0.210526,0.210526,0.210526,-1.000000,-1.000000,-1.000000,0.210526
0.272727,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,-1.000000,-1.000000,-1.000000,0.250000
0.294118,0.312500,0.285714,0.285714,0.285714,0.285714,0.285714,-1.000000,-1.000000,-1.000000,0.285714
0.342105,0.363636,0.363636,0.363636,0.363636,0.363636,0.363636,-1.000000,-1.000000,-1.000000,0.363636
0.266667,0.307692,0.333333,0.333333,0.333333,0.333333,0.333333,-1.000000,-1.000000,-1.000000,0.318182
0.233333,0.240000,0.227273,0.227273,0.227273,0.227273,0.227273,-1.000000,-1.000000,-1.000000,0.227273
0.325581,0.259259,0.250000,0.250000,0.250000,0.250000,0.250000,-1.000000,-1.000000,-1.000000,0.250000
0.410714,0.425926,0.433333,0.440000,0.440000,0.440000,0.440000,-1.000000,-1.000000,-1.000000,0.440000
0.387755,0.310345,0.318182,0.318182,0.318182,0.318182,0.318182,-1.000000,-1.000000,-1.000000,0.333333
0.294118,0.310345,0.307692,0.307692,0.307692,0.307692,0.307692,-1.000000,-1.000000,-1.000000,0.307692
0.351351,0.371429,0.382353,0.393939,0.393939,0.393939,0.393939,-1.000000,-1.000000,-1.000000,0.393939
0.285714,0.294118,0.320000,0.320000,0.320000,0.320000,0.320000,-1.000000,-1.000000,-1.000000,0.320000
0.352941,0.342857,0.344828,0.360000,0.360000,0.360000,0.360000,-1.000000,-1.000000,-1.000000,0.360000
0.242424,0.258065,0.250000,0.300000,0.296296,0.300000,0.300000,-1.000000,-1.000000,-1.000000,0.300000
0.325000,0.361111,0.366667,0.379310,0.379310,0.379310,0.379310,-1.000000,-1.000000,-1.000000,0.379310
0.375000,0.375000,0.375000,0.400000,0.400000,0.400000,0.400000,-1.000000,-1.000000,-1.000000,0.400000
0.166667,0.200000,0.181818,0.181818,0.181818,0.181818,0.181818,-1.000000,-1.000000,-1.000000,0.200000
0.305556,0.370370,0.238095,0.263158,0.250000,0.263158,0.263158,-1.000000,-1.000000,-1.000000,0.263158
0.324324,0.260870,0.260870,0.260870,0.260870,0.260870,0.260870,-1.000000,-1.000000,-1.000000,0.285714
0.355556,0.372093,0.360000,0.360000,0.360000,0.360000,0.360000,-1.000000,-1.000000,-1.000000,0.360000
0.166667,0.181818,0.181818,0.181818,0.181818,0.181818,0.181818,-1.000000,-1.000000,-1.000000,0.181818
0.325000,0.323529,0.370370,0.370370,0.370370,0.370370,0.370370,-1.000000,-1.000000,-1.000000,0.370370
0.360000,0.382979,0.395349,0.441176,0.414634,0.441176,0.441176,-1.000000,-1.000000,-1.000000,0.448276
0.275862,0.320000,0.318182,0.333333,0.318182,0.333333,0.333333,-1.000000,-1.000000,-1.000000,0.350000
0.300000,0.307692,0.322581,0.333333,0.333333,0.333333,0.333333,-1.000000,-1.000000,-1.000000,0.333333
0.266667,0.285714,0.307692,0.291667,0.291667,0.291667,0.291667,-1.000000,-1.000000,-1.000000,0.291667
0.294118,0.312500,0.318182,0.300000,0.285714,0.300000,0.300000,-1.000000,-1.000000,-1.000000,0.300000
0.130435,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,-1.000000,-1.000000,-1.000000,0.111111
0.250000,0.259259,0.259259,0.259259,0.259259,0.259259,0.259259,-1.000000,-1.000000,-1.000000,0.259259
0.297297,0.314286,0.322581,0.333333,0.322581,0.333333,0.333333,-1.000000,-1.000000,-1.000000,0.250000
0.415094,0.448980,0.452381,0.452381,0.452381,0.452381,0.452381,-1.000000,-1.000000,-1.000000,0.459459
0.214286,0.200000,0.208333,0.208333,0.208333,0.208333,0.208333,-1.000000,-1.000000,-1.000000,0.208333
0.242424,0.250000,0.269231,0.263158,0.263158,0.263158,0.263158,-1.000000,-1.000000,-1.000000,0.263158
0.311111,0.297297,0.346154,0.346154,0.346154,0.346154,0.346154,-1.000000,-1.000000,-1.000000,0.346154
0.377358,0.392157,0.418605,0.450000,0.450000,0.439024,0.450000,-1.000000,-1.000000,-1.000000,0.432432
0.136364,0.150000,0.150000,0.150000,0.150000,0.150000,0.150000,-1.000000,-1.000000,-1.000000,0.150000
0.130435,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,-1.000000,-1.000000,-1.000000,0.111111
0.277778,0.294118,0.290323,0.310345,0.310345,0.310345,0.310345,-1.000000,-1.000000,-1.000000,0.333333
0.403846,0.403846,0.472222,0.500000,0.500000,0.500000,0.500000,-1.000000,-1.000000,-1.000000,0.458333
0.166667,0.150000,0.150000,0.150000,0.150000,0.150000,0.150000,-1.000000,-1.000000,-1.000000,0.166667
0.333333,0.333333,0.333333,0.333333,0.333333,0.347826,0.347826,-1.000000,-1.000000,-1.000000,0.333333
0.222222,0.250000,0.250000,0.260870,0.260870,0.260870,0.260870,-1.000000,-1.000000,-1.000000,0.260870
0.381818,0.363636,0.357143,0.384615,0.384615,0.384615,0.384615,-1.000000,-1.000000,-1.000000,0.384615
0.166667,0.200000,0.200000,0.200000,0.200000,0.190476,0.190476,-1.000000,-1.000000,-1.000000,0.200000
0.233333,0.250000,0.259259,0.269231,0.269231,0.269231,0.269231,-1.000000,-1.000000,-1.000000,0.269231
0.242424,0.266667,0.280000,0.260870,0.250000,0.260870,0.260870,-1.000000,-1.000000,-1.000000,0.260870
0.192308,0.200000,0.238095,0.238095,0.238095,0.238095,0.238095,-1.000000,-1.000000,-1.000000,0.238095
0.413793,0.366667,0.344828,0.357143,0.357143,0.344828,0.344828,-1.000000,-1.000000,-1.000000,0.357143
0.342857,0.379310,0.354839,0.379310,0.379310,0.379310,0.379310,-1.000000,-1.000000,-1.000000,0.333333
0.361702,0.354167,0.318182,0.285714,0.285714,0.285714,0.285714,-1.000000,-1.000000,-1.000000,0.285714
0.396226,0.408163,0.425532,0.448276,0.433333,0.433333,0.433333,-1.000000,-1.000000,-1.000000,0.448276
0.307692,0.321429,0.333333,0.333333,0.333333,0.333333,0.333333,-1.000000,-1.000000,-1.000000,0.333333
0.222222,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,-1.000000,-1.000000,-1.000000,0.250000
0.396552,0.383333,0.431373,0.463415,0.463415,0.476190,0.463415,-1.000000,-1.000000,-1.000000,0.500000
0.348837,0.354839,0.360000,0.363636,0.363636,0.363636,0.363636,-1.000000,-1.000000,-1.000000,0.363636
0.258065,0.259259,0.227273,0.227273,0.227273,0.227273,0.227273,-1.000000,-1.000000,-1.000000,0.227273
0.333333,0.343750,0.343750,0.354839,0.354839,0.354839,0.354839,-1.000000,-1.000000,-1.000000,0.354839
0.341463,0.343750,0.272727,0.272727,0.272727,0.272727,0.272727,-1.000000,-1.000000,-1.000000,0.272727
0.166667,0.181818,0.181818,0.181818,0.181818,0.181818,0.181818,-1.000000,-1.000000,-1.000000,0.181818
0.185185,0.181818,0.222222,0.222222,0.222222,0.222222,0.222222,-1.000000,-1.000000,-1.000000,0.222222
0.294118,0.303030,0.296296,0.307692,0.307692,0.307692,0.307692,-1.000000,-1.000000,-1.000000,0.307692
0.214286,0.208333,0.227273,0.227273,0.227273,0.227273,0.227273,-1.000000,-1.000000,-1.000000,0.227273
0.277778,0.285714,0.285714,0.296296,0.285714,0.296296,0.296296,-1.000000,-1.000000,-1.000000,0.296296
0.303030,0.344828,0.400000,0.400000,0.400000,0.370370,0.370370,-1.000000,-1.000000,-1.000000,0.400000
0.372549,0.375000,0.424242,0.424242,0.424242,0.424242,0.424242,-1.000000,-1.000000,-1.000000,0.451613
0.241379,0.260870,0.285714,0.285714,0.285714,0.285714,0.285714,-1.000000,-1.000000,-1.000000,0.285714
0.372549,0.345455,0.379310,0.379310,0.379310,0.379310,0.379310,-1.000000,-1.000000,-1.000000,0.379310
0.297297,0.323529,0.333333,0.333333,0.333333,0.333333,0.333333,-1.000000,-1.000000,-1.000000,0.333333
0.225806,0.250000,0.250000,0.238095,0.238095,0.238095,0.238095,-1.000000,-1.000000,-1.000000,0.238095
0.277778,0.250000,0.260870,0.260870,0.260870,0.260870,0.260870,-1.000000,-1.000000,-1.000000,0.260870
0.324324,0.296296,0.333333,0.300000,0.300000,0.300000,0.300000,-1.000000,-1.000000,-1.000000,0.300000
0.333333,0.342105,0.354839,0.366667,0.366667,0.366667,0.366667,-1.000000,-1.000000,-1.000000,0.366667
0.206897,0.136364,0.100000,0.100000,0.100000,0.100000,0.100000,-1.000000,-1.000000,-1.000000,0.100000
0.382979,0.418605,0.400000,0.428571,0.428571,0.428571,0.428571,-1.000000,-1.000000,-1.000000,0.428571
0.233333,0.250000,0.238095,0.238095,0.238095,0.238095,0.238095,-1.000000,-1.000000,-1.000000,0.238095
0.285714,0.282051,0.307692,0.307692,0.307692,0.307692,0.307692,-1.000000,-1.000000,-1.000000,0.307692
0.250000,0.259259,0.260870,0.260870,0.260870,0.260870,0.260870,-1.000000,-1.000000,-1.000000,0.260870
0.222222,0.238095,0.250000,0.250000,0.250000,0.250000,0.250000,-1.000000,-1.000000,-1.000000,0.250000
0.290323,0.281250,0.346154,0.360000,0.360000,0.360000,0.360000,-1.000000,-1.000000,-1.000000,0.360000
0.297297,0.296296,0.307692,0.307692,0.307692,0.307692,0.307692,-1.000000,-1.000000,-1.000000,0.307692
0.326087,0.341463,0.333333,0.357143,0.357143,0.357143,0.357143,-1.000000,-1.000000,-1.000000,0.357143
0.294118,0.312500,0.300000,0.300000,0.300000,0.300000,0.300000,-1.000000,-1.000000,-1.000000,0.300000
0.100000,0.100000,0.111111,0.111111,0.111111,0.111111,0.111111,-1.000000,-1.000000,-1.000000,0.111111
0.233333,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,-1.000000,-1.000000,-1.000000,0.111111
0.333333,0.342105,0.307692,0.347826,0.333333,0.347826,0.347826,-1.000000,-1.000000,-1.000000,0.347826
0.214286,0.241379,0.214286,0.300000,0.300000,0.285714,0.300000,-1.000000,-1.000000,-1.000000,0.300000
0.272727,0.290323,0.310345,0.310345,0.310345,0.310345,0.310345,-1.000000,-1.000000,-1.000000,0.310345
0.341463,0.280000,0.318182,0.315789,0.315789,0.315789,0.315789,-1.000000,-1.000000,-1.000000,0.315789
0.342105,0.342105,0.342105,0.413793,0.413793,0.363636,0.413793,-1.000000,-1.000000,-1.000000,0.423077
0.258065,0.275862,0.260870,0.260870,0.260870,0.250000,0.250000,-1.000000,-1.000000,-1.000000,0.260870
0.325581,0.350000,0.304348,0.304348,0.304348,0.333333,0.333333,-1.000000,-1.000000,-1.000000,0.304348
0.317073,0.324324,0.333333,0.409091,0.370370,0.409091,0.409091,-1.000000,-1.000000,-1.000000,0.380952
0.257143,0.250000,0.280000,0.315789,0.315789,0.315789,0.315789,-1.000000,-1.000000,-1.000000,0.315789
0.192308,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,-1.000000,-1.000000,-1.000000,0.142857
0.400000,0.425532,0.450000,0.451613,0.441176,0.451613,0.451613,-1.000000,-1.000000,-1.000000,0.451613
0.225806,0.173913,0.240000,0.157895,0.157895,0.157895,0.157895,-1.000000,-1.000000,-1.000000,0.157895
0.277778,0.266667,0.260870,0.260870,0.260870,0.260870,0.260870,-1.000000,-1.000000,-1.000000,0.260870
0.375000,0.400000,0.370370,0.370370,0.370370,0.370370,0.370370,-1.000000,-1.000000,-1.000000,0.370370
0.290323,0.320000,0.320000,0.347826,0.333333,0.347826,0.347826,-1.000000,-1.000000,-1.000000,0.347826
0.377778,0.388889,0.416667,0.416667,0.416667,0.400000,0.400000,-1.000000,-1.000000,-1.000000,0.416667
0.166667,0.190476,0.210526,0.210526,0.210526,0.210526,0.210526,-1.000000,-1.000000,-1.000000,0.210526
0.309524,0.333333,0.326087,0.351351,0.351351,0.325000,0.351351,-1.000000,-1.000000,-1.000000,0.318182
