None,A,C,B,D,F,E,ignore,G,ignore,perfect
0.307692,0.315789,-1.000000,-1.000000,0.352941,0.240000,0.333333,-1.000000,0.312500,0.352941,0.240000
-1.000000,-1.000000,0.452381,-1.000000,-1.000000,-1.000000,0.463415,-1.000000,0.466667,-1.000000,0.500000
0.250000,0.266667,0.269231,0.266667,0.266667,0.296296,0.269231,0.269231,0.269231,0.266667,0.285714
0.275862,0.303030,0.300000,0.275862,-1.000000,0.300000,0.300000,0.300000,0.300000,0.303030,0.320000
0.294118,0.312500,0.322581,0.294118,0.294118,0.312500,0.322581,0.333333,0.333333,0.294118,0.370370
-1.000000,-1.000000,-1.000000,-1.000000,0.440000,0.465116,0.452381,0.452381,0.439024,0.434783,0.439024
0.130435,0.136364,0.150000,0.130435,0.150000,0.150000,0.150000,0.150000,0.150000,0.136364,0.150000
0.214286,0.230769,0.230769,0.230769,0.230769,0.230769,0.230769,0.230769,0.230769,0.230769,0.250000
0.192308,0.150000,0.157895,0.192308,0.200000,0.157895,0.157895,0.157895,0.157895,0.192308,0.157895
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.485714
0.214286,0.230769,0.230769,0.214286,0.208333,0.208333,0.227273,0.227273,0.227273,0.222222,0.227273
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.557692,-1.000000,-1.000000,-1.000000,-1.000000,0.566667
0.222222,0.214286,0.230769,0.222222,0.222222,0.230769,0.230769,0.260870,0.260870,0.222222,0.260870
0.192308,0.200000,0.208333,0.200000,0.200000,0.208333,0.208333,0.208333,0.208333,0.200000,0.250000
0.413043,0.404255,-1.000000,0.413043,-1.000000,0.431818,0.404255,-1.000000,0.404255,-1.000000,0.500000
0.214286,0.240000,0.260870,0.230769,0.260870,0.260870,0.260870,0.260870,0.260870,0.230769,0.260870
0.222222,0.217391,0.217391,0.230769,0.217391,0.217391,0.217391,0.217391,0.217391,0.230769,0.217391
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.473684,0.476190,0.487179,0.487179,0.488372,0.464286
0.266667,0.258065,0.266667,0.275862,0.285714,0.285714,0.285714,0.275862,0.275862,0.280000,0.238095
0.382979,0.391304,0.379310,-1.000000,-1.000000,0.379310,0.387097,0.379310,0.379310,0.404762,0.379310
0.375000,0.382979,0.343750,0.375000,0.382979,0.354839,0.354839,0.382353,0.354839,0.421053,0.354839
0.192308,0.142857,0.142857,0.192308,0.142857,0.142857,0.142857,0.142857,0.142857,0.192308,0.142857
0.294118,0.290323,0.259259,0.294118,0.259259,0.259259,0.259259,0.259259,0.259259,0.290323,0.272727
0.185185,0.200000,0.227273,0.185185,0.200000,0.227273,0.250000,0.250000,0.250000,0.185185,0.250000
0.250000,0.275862,0.280000,0.250000,0.250000,0.280000,0.280000,0.280000,0.280000,0.280000,0.280000
0.166667,0.190476,0.200000,0.166667,0.166667,0.200000,0.200000,0.200000,0.200000,0.166667,0.200000
0.185185,0.200000,0.208333,0.185185,0.192308,0.192308,0.208333,0.208333,0.208333,0.185185,0.181818
0.192308,0.200000,0.217391,0.200000,0.208333,0.217391,0.217391,0.217391,0.217391,0.200000,0.250000
0.125000,0.150000,0.157895,0.125000,0.136364,0.157895,0.157895,0.157895,0.157895,0.125000,0.157895
0.275862,0.296296,0.307692,0.285714,0.296296,0.320000,0.320000,0.320000,0.320000,0.285714,0.304348
0.206897,0.230769,0.230769,0.214286,0.214286,0.230769,0.230769,0.230769,0.230769,0.230769,0.230769
0.125000,0.105263,0.105263,0.125000,0.105263,0.105263,0.105263,0.105263,0.105263,0.125000,0.105263
0.314286,0.314286,0.290323,0.314286,-1.000000,-1.000000,0.290323,0.290323,0.290323,-1.000000,0.290323
0.160000,0.105263,0.105263,0.166667,0.181818,0.105263,0.105263,0.105263,0.105263,0.105263,0.105263
0.206897,0.166667,0.166667,0.185185,0.166667,0.181818,0.181818,0.190476,0.190476,0.166667,0.190476
0.250000,0.258065,0.266667,0.266667,0.266667,0.266667,0.266667,0.266667,0.266667,0.266667,0.285714
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.478261,-1.000000,0.511628,0.511628,0.489362,0.535714
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.292683,0.289474,0.314286,0.292683,0.323529,0.323529,0.346154,0.346154,0.346154,0.323529,0.346154
0.242424,0.259259,0.291667,0.258065,0.258065,0.291667,0.291667,0.280000,0.291667,0.258065,0.291667
0.153846,0.166667,0.142857,0.153846,0.166667,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
0.090909,0.100000,0.111111,0.090909,0.111111,0.111111,0.111111,0.111111,0.111111,0.095238,0.111111
0.130435,0.142857,0.142857,0.130435,0.142857,0.142857,0.142857,0.142857,0.142857,0.130435,0.142857
0.241379,0.269231,0.269231,0.241379,0.250000,0.280000,0.280000,0.269231,0.280000,0.250000,0.280000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.520000
0.266667,0.266667,0.307692,0.275862,0.285714,0.333333,0.333333,0.333333,0.333333,0.275862,0.333333
0.325000,0.325000,-1.000000,0.333333,0.325000,0.333333,0.333333,0.351351,0.406250,0.361111,0.285714
0.340909,0.340909,0.378378,0.341463,0.358974,0.378378,0.378378,0.378378,0.378378,0.358974,0.411765
-1.000000,0.369565,0.377778,0.352941,0.352941,0.377778,0.377778,0.377778,0.377778,0.369565,0.375000
0.206897,0.214286,0.217391,0.214286,0.217391,0.217391,0.217391,0.217391,0.217391,0.200000,0.217391
0.130435,0.130435,0.142857,0.130435,0.142857,0.142857,0.142857,0.142857,0.142857,0.130435,0.142857
0.125000,0.136364,0.136364,0.130435,0.136364,0.136364,0.136364,0.136364,0.136364,0.136364,0.136364
0.416667,0.423729,0.386364,0.416667,-1.000000,0.405405,0.386364,0.384615,0.384615,0.405405,0.517241
0.372549,0.351351,0.387755,0.380000,0.307692,0.307692,0.307692,0.333333,0.307692,0.307692,0.272727
0.303030,0.303030,0.312500,0.294118,0.312500,0.312500,0.312500,0.312500,0.303030,0.312500,0.312500
0.222222,0.222222,0.240000,0.222222,0.240000,0.208333,0.240000,0.240000,0.240000,0.208333,0.208333
0.185185,0.166667,0.181818,0.166667,0.166667,0.181818,0.181818,0.181818,0.181818,0.166667,0.181818
0.317073,0.325000,0.371429,0.325000,0.342105,0.342105,0.371429,0.375000,0.375000,0.342105,0.428571
0.095238,0.100000,0.105263,0.095238,0.105263,0.105263,0.105263,0.105263,0.105263,0.105263,0.105263
0.233333,0.250000,0.241379,0.250000,0.241379,0.241379,0.241379,0.241379,0.241379,0.250000,0.250000
0.307692,0.333333,0.333333,0.307692,0.307692,0.315789,0.333333,0.342857,0.342857,0.307692,0.322581
0.185185,0.200000,0.200000,0.192308,0.200000,0.200000,0.200000,0.200000,0.200000,0.192308,0.181818
0.281250,0.290323,0.300000,0.290323,0.333333,0.333333,0.300000,0.310345,0.310345,0.333333,0.333333
0.272727,0.290323,0.181818,0.264706,0.181818,0.181818,0.181818,0.181818,0.181818,0.281250,0.181818
0.357143,0.375000,0.354839,0.357143,0.379310,0.379310,0.354839,0.407407,0.440000,0.379310,0.440000
0.052632,0.052632,0.052632,0.052632,0.052632,0.052632,0.052632,0.052632,0.052632,0.052632,0.052632
0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.241379,0.250000,0.250000,0.217391
0.090909,0.090909,0.105263,0.090909,0.090909,0.105263,0.105263,0.105263,0.105263,0.090909,0.105263
