None,A,C,B,D,F,E,ignore,G,ignore,perfect
0.095238,0.105263,0.105263,0.100000,0.105263,0.105263,0.105263,0.105263,0.105263,0.100000,0.105263
0.241379,0.269231,0.304348,0.241379,0.250000,0.291667,0.304348,0.304348,0.304348,0.241379,0.318182
0.250000,0.285714,0.250000,0.266667,0.266667,0.304348,0.250000,0.250000,0.250000,0.304348,0.250000
0.233333,0.250000,0.291667,0.241379,0.250000,0.291667,0.333333,0.291667,0.304348,0.241379,0.333333
0.277778,0.270270,0.294118,0.294118,0.294118,0.321429,0.310345,0.333333,0.346154,0.294118,0.400000
0.225806,0.241379,0.200000,0.225806,0.225806,0.238095,0.200000,0.200000,0.200000,0.225806,0.200000
0.192308,0.200000,0.250000,0.192308,0.200000,0.208333,0.250000,0.250000,0.250000,0.200000,0.250000
0.250000,0.258065,0.296296,0.258065,0.296296,0.333333,0.333333,0.296296,0.333333,0.296296,0.333333
0.160000,0.150000,0.166667,0.160000,0.142857,0.157895,0.166667,0.166667,0.166667,0.142857,0.166667
0.214286,0.208333,0.200000,0.214286,0.240000,0.200000,0.200000,0.200000,0.200000,0.222222,0.200000
0.285714,0.272727,0.304348,0.294118,0.272727,0.272727,0.304348,0.272727,0.272727,0.304348,0.272727
0.275862,0.296296,0.318182,0.285714,0.296296,0.307692,0.318182,0.318182,0.318182,0.296296,0.318182
0.222222,0.230769,0.240000,0.222222,0.240000,0.240000,0.240000,0.240000,0.240000,0.250000,0.285714
0.400000,0.392157,0.411765,0.408163,0.411765,0.411765,0.393939,0.393939,0.393939,0.400000,0.393939
0.095238,0.058824,0.058824,0.095238,0.058824,0.058824,0.058824,0.058824,0.058824,0.058824,0.058824
0.294118,0.250000,0.200000,0.275862,0.200000,0.200000,0.200000,0.227273,0.238095,0.238095,0.210526
0.281250,0.290323,0.310345,0.281250,0.290323,0.290323,0.310345,0.290323,0.290323,0.290323,0.310345
0.315789,0.354839,0.354839,0.324324,0.342857,0.318182,0.318182,0.347826,0.347826,0.354839,0.318182
0.309524,0.342105,0.333333,0.317073,0.325000,0.333333,0.333333,0.321429,0.333333,0.343750,0.333333
0.324324,0.333333,0.318182,0.324324,0.342857,0.375000,0.318182,0.347826,0.318182,0.352941,0.318182
0.342105,0.310345,0.320000,0.351351,0.285714,0.307692,0.320000,0.347826,0.347826,0.285714,0.347826
0.333333,0.363636,0.375000,0.324324,0.342857,0.342857,0.318182,0.333333,0.333333,0.342857,0.333333
0.380000,0.391304,0.300000,0.385965,0.312500,0.310345,0.300000,0.290323,0.300000,0.404255,0.310345
0.375000,0.379310,0.407407,0.358974,0.350000,0.384615,0.384615,0.392857,0.407407,0.358974,0.384615
0.392857,0.315789,0.222222,0.200000,0.208333,0.250000,0.222222,0.210526,0.210526,0.200000,0.222222
0.380000,0.371429,0.366667,0.363636,0.371429,0.375000,0.366667,0.382353,0.366667,0.368421,0.375000
0.277778,0.275862,0.272727,0.277778,0.275862,0.260870,0.272727,0.272727,0.272727,0.275862,0.272727
0.350000,0.400000,0.347826,0.350000,0.350000,0.333333,0.318182,0.333333,0.333333,0.393939,0.318182
0.250000,0.291667,0.350000,0.259259,0.280000,0.333333,0.350000,0.350000,0.350000,0.259259,0.350000
0.258065,0.275862,0.304348,0.258065,0.250000,0.296296,0.304348,0.291667,0.291667,0.296296,0.304348
0.206897,0.230769,0.260870,0.206897,0.222222,0.250000,0.260870,0.250000,0.250000,0.230769,0.260870
0.305556,0.200000,0.200000,0.314286,0.291667,0.200000,0.200000,0.200000,0.200000,0.291667,0.200000
0.333333,0.321429,0.321429,0.342857,0.375000,0.320000,0.320000,0.333333,0.320000,0.333333,0.333333
0.233333,0.280000,0.285714,0.233333,0.233333,0.285714,0.285714,0.285714,0.285714,0.233333,0.285714
0.214286,0.217391,0.250000,0.222222,0.217391,0.250000,0.250000,0.250000,0.250000,0.222222,0.250000
0.150000,0.142857,0.157895,0.142857,0.157895,0.157895,0.157895,0.157895,0.157895,0.142857,0.157895
0.206897,0.181818,0.181818,0.206897,0.206897,0.210526,0.210526,0.210526,0.210526,0.206897,0.210526
0.160000,0.181818,0.157895,0.160000,0.173913,0.166667,0.166667,0.166667,0.166667,0.160000,0.166667
0.341463,0.351351,0.375000,0.350000,0.341463,0.375000,0.375000,0.400000,0.375000,0.350000,0.375000
0.095238,0.095238,0.100000,0.095238,0.117647,0.117647,0.117647,0.117647,0.117647,0.100000,0.117647
0.372093,0.343750,0.379310,0.372093,0.333333,0.366667,0.379310,0.366667,0.379310,0.343750,0.379310
0.307692,0.305556,0.323529,0.307692,0.305556,0.347826,0.347826,0.347826,0.347826,0.344828,0.347826
0.242424,0.250000,0.258065,0.250000,0.250000,0.291667,0.266667,0.304348,0.304348,0.250000,0.318182
-1.000000,0.431373,0.380952,-1.000000,-1.000000,0.400000,0.380952,0.384615,0.384615,0.400000,0.380952
0.379310,0.361111,0.300000,0.379310,0.379310,0.272727,0.300000,0.300000,0.300000,0.379310,0.300000
0.258065,0.285714,0.269231,0.269231,0.269231,0.285714,0.285714,0.285714,0.285714,0.285714,0.285714
0.052632,0.058824,0.058824,0.052632,0.058824,0.058824,0.058824,0.058824,0.058824,0.058824,0.058824
0.206897,0.222222,0.210526,0.206897,0.206897,0.210526,0.210526,0.210526,0.210526,0.206897,0.210526
0.272727,0.250000,0.250000,0.272727,0.250000,0.250000,0.250000,0.250000,0.250000,0.240000,0.250000
0.294118,0.312500,0.285714,0.294118,0.285714,0.285714,0.285714,0.291667,0.291667,0.272727,0.285714
0.342105,0.363636,0.363636,0.333333,0.342105,0.363636,0.363636,0.363636,0.363636,0.351351,0.363636
0.266667,0.307692,0.333333,0.275862,0.266667,0.320000,0.333333,0.320000,0.320000,0.285714,0.318182
0.233333,0.240000,0.227273,0.241379,0.259259,0.227273,0.227273,0.227273,0.227273,0.227273,0.227273
0.325581,0.259259,0.250000,0.333333,0.333333,0.238095,0.250000,0.250000,0.250000,0.333333,0.250000
0.410714,0.425926,0.433333,0.425926,0.418182,0.440000,0.440000,0.444444,0.444444,0.459459,0.440000
0.387755,0.310345,0.318182,0.281250,0.300000,0.333333,0.318182,0.318182,0.318182,0.333333,0.333333
0.294118,0.310345,0.307692,0.294118,0.322581,0.307692,0.307692,0.307692,0.307692,0.322581,0.307692
0.351351,0.371429,0.382353,0.351351,0.333333,0.393939,0.333333,0.371429,0.382353,0.382353,0.393939
0.285714,0.294118,0.320000,0.294118,0.294118,0.320000,0.320000,0.320000,0.320000,0.294118,0.320000
0.352941,0.342857,0.344828,0.360000,0.333333,0.360000,0.344828,0.360000,0.360000,0.333333,0.360000
0.242424,0.258065,0.250000,0.242424,0.242424,0.296296,0.296296,0.285714,0.318182,0.242424,0.300000
0.325000,0.361111,0.366667,0.325000,0.354839,0.379310,0.366667,0.379310,0.379310,0.354839,0.379310
0.375000,0.375000,0.375000,0.375000,0.377358,0.400000,0.400000,0.400000,0.400000,0.394737,0.400000
0.166667,0.200000,0.181818,0.173913,0.173913,0.181818,0.181818,0.181818,0.181818,0.173913,0.200000
0.305556,0.370370,0.238095,0.305556,0.305556,0.250000,0.250000,0.263158,0.263158,0.370370,0.263158
0.324324,0.260870,0.260870,0.312500,0.269231,0.280000,0.260870,0.260870,0.260870,0.280000,0.285714
0.355556,0.372093,0.360000,0.363636,0.366667,0.360000,0.360000,0.360000,0.360000,0.366667,0.360000
0.166667,0.181818,0.181818,0.166667,0.181818,0.181818,0.181818,0.181818,0.181818,0.181818,0.181818
0.325000,0.323529,0.370370,0.325000,0.333333,0.343750,0.370370,0.357143,0.357143,0.342857,0.370370
0.360000,0.382979,0.395349,0.360000,0.360000,0.414634,0.404762,0.414634,0.428571,0.382979,0.448276
0.275862,0.320000,0.318182,0.285714,0.318182,0.318182,0.318182,0.307692,0.333333,0.296296,0.350000
0.300000,0.307692,0.322581,0.305556,0.333333,0.333333,0.333333,0.300000,0.333333,0.310345,0.333333
0.266667,0.285714,0.307692,0.266667,0.275862,0.275862,0.291667,0.296296,0.280000,0.266667,0.291667
0.294118,0.312500,0.318182,0.294118,0.312500,0.285714,0.318182,0.347826,0.285714,0.312500,0.300000
0.130435,0.111111,0.111111,0.130435,0.142857,0.111111,0.111111,0.111111,0.111111,0.130435,0.111111
0.250000,0.259259,0.259259,0.258065,0.266667,0.259259,0.259259,0.259259,0.259259,0.259259,0.259259
0.297297,0.314286,0.322581,0.305556,0.297297,0.322581,0.322581,0.320000,0.320000,0.322581,0.250000
0.415094,0.448980,0.452381,0.415094,0.452381,0.452381,0.452381,0.458333,0.452381,0.439024,0.459459
0.214286,0.200000,0.208333,0.200000,0.208333,0.208333,0.208333,0.208333,0.208333,0.200000,0.208333
0.242424,0.250000,0.269231,0.250000,0.250000,0.263158,0.285714,0.263158,0.263158,0.250000,0.263158
0.311111,0.297297,0.346154,0.300000,0.314286,0.346154,0.346154,0.346154,0.346154,0.323529,0.346154
0.377358,0.392157,0.418605,0.377358,0.418605,0.450000,0.439024,0.432432,0.432432,0.416667,0.432432
0.136364,0.150000,0.150000,0.142857,0.150000,0.150000,0.150000,0.150000,0.150000,0.150000,0.150000
0.130435,0.111111,0.111111,0.130435,0.142857,0.111111,0.111111,0.111111,0.111111,0.130435,0.111111
0.277778,0.294118,0.290323,0.285714,0.290323,0.310345,0.310345,0.310345,0.310345,0.310345,0.333333
0.403846,0.403846,0.472222,0.411765,0.403846,0.470588,0.500000,0.486486,0.484848,0.425532,0.458333
0.166667,0.150000,0.150000,0.142857,0.150000,0.150000,0.150000,0.142857,0.150000,0.142857,0.166667
0.333333,0.333333,0.333333,0.324324,0.324324,0.375000,0.333333,0.333333,0.333333,0.344828,0.333333
0.222222,0.250000,0.250000,0.222222,0.230769,0.260870,0.260870,0.260870,0.260870,0.230769,0.260870
0.381818,0.363636,0.357143,0.324324,0.352941,0.384615,0.384615,0.384615,0.384615,0.370370,0.384615
0.166667,0.200000,0.200000,0.166667,0.173913,0.190476,0.200000,0.200000,0.200000,0.173913,0.200000
0.233333,0.250000,0.259259,0.233333,0.259259,0.269231,0.269231,0.259259,0.259259,0.241379,0.269231
0.242424,0.266667,0.280000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.296296,0.260870
0.192308,0.200000,0.238095,0.200000,0.217391,0.227273,0.238095,0.227273,0.227273,0.227273,0.238095
0.413793,0.366667,0.344828,0.411765,0.400000,0.366667,0.357143,0.344828,0.357143,0.411765,0.357143
0.342857,0.379310,0.354839,0.343750,0.343750,0.379310,0.354839,0.379310,0.379310,0.343750,0.333333
0.361702,0.354167,0.318182,0.361702,0.369565,0.285714,0.318182,0.370370,0.318182,0.369565,0.285714
0.396226,0.408163,0.425532,0.396226,0.408163,0.433333,0.448276,0.416667,0.406250,0.406250,0.448276
0.307692,0.321429,0.333333,0.307692,0.321429,0.333333,0.333333,0.333333,0.333333,0.321429,0.333333
0.222222,0.250000,0.250000,0.222222,0.217391,0.250000,0.250000,0.238095,0.238095,0.208333,0.250000
0.396552,0.383333,0.431373,0.396552,0.389831,0.463415,0.444444,0.408163,0.463415,0.444444,0.500000
0.348837,0.354839,0.360000,0.342105,0.351351,0.370370,0.363636,0.346154,0.391304,0.351351,0.363636
0.258065,0.259259,0.227273,0.250000,0.260870,0.227273,0.227273,0.227273,0.227273,0.260870,0.227273
0.333333,0.343750,0.343750,0.333333,0.343750,0.354839,0.343750,0.333333,0.323529,0.354839,0.354839
0.341463,0.343750,0.272727,0.333333,0.333333,0.260870,0.272727,0.272727,0.272727,0.333333,0.272727
0.166667,0.181818,0.181818,0.173913,0.181818,0.181818,0.181818,0.181818,0.181818,0.173913,0.181818
0.185185,0.181818,0.222222,0.185185,0.173913,0.222222,0.222222,0.222222,0.222222,0.185185,0.222222
0.294118,0.303030,0.296296,0.303030,0.300000,0.307692,0.307692,0.296296,0.307692,0.303030,0.307692
0.214286,0.208333,0.227273,0.200000,0.200000,0.227273,0.227273,0.227273,0.227273,0.200000,0.227273
0.277778,0.285714,0.285714,0.258065,0.258065,0.285714,0.285714,0.285714,0.285714,0.275862,0.296296
0.303030,0.344828,0.400000,0.303030,0.322581,0.357143,0.400000,0.384615,0.384615,0.312500,0.400000
0.372549,0.375000,0.424242,0.372549,0.391304,0.444444,0.424242,0.424242,0.451613,0.444444,0.451613
0.241379,0.260870,0.285714,0.250000,0.250000,0.269231,0.285714,0.285714,0.285714,0.260870,0.285714
0.372549,0.345455,0.379310,0.372549,0.343750,0.379310,0.379310,0.379310,0.379310,0.343750,0.379310
0.297297,0.323529,0.333333,0.305556,0.333333,0.323529,0.333333,0.333333,0.333333,0.333333,0.333333
0.225806,0.250000,0.250000,0.233333,0.238095,0.238095,0.238095,0.238095,0.238095,0.250000,0.238095
0.277778,0.250000,0.260870,0.277778,0.269231,0.250000,0.260870,0.260870,0.260870,0.250000,0.260870
0.324324,0.296296,0.333333,0.290323,0.290323,0.300000,0.300000,0.300000,0.300000,0.290323,0.300000
0.333333,0.342105,0.354839,0.342105,0.366667,0.366667,0.366667,0.366667,0.366667,0.354839,0.366667
0.206897,0.136364,0.100000,0.136364,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.382979,0.418605,0.400000,0.382979,0.391304,0.413793,0.428571,0.428571,0.428571,0.400000,0.428571
0.233333,0.250000,0.238095,0.250000,0.259259,0.260870,0.238095,0.238095,0.238095,0.250000,0.238095
0.285714,0.282051,0.307692,0.285714,0.266667,0.307692,0.307692,0.296296,0.307692,0.266667,0.307692
0.250000,0.259259,0.260870,0.250000,0.259259,0.260870,0.260870,0.260870,0.260870,0.260870,0.260870
0.222222,0.238095,0.250000,0.222222,0.217391,0.238095,0.250000,0.250000,0.250000,0.217391,0.250000
0.290323,0.281250,0.346154,0.290323,0.321429,0.360000,0.360000,0.346154,0.360000,0.333333,0.360000
0.297297,0.296296,0.307692,0.305556,0.296296,0.307692,0.307692,0.307692,0.307692,0.303030,0.307692
0.326087,0.341463,0.333333,0.333333,0.322581,0.357143,0.357143,0.344828,0.344828,0.322581,0.357143
0.294118,0.312500,0.300000,0.303030,0.312500,0.300000,0.300000,0.300000,0.300000,0.370370,0.300000
0.100000,0.100000,0.111111,0.100000,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111
0.233333,0.111111,0.111111,0.241379,0.173913,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111
0.333333,0.342105,0.307692,0.341463,0.357143,0.333333,0.333333,0.320000,0.347826,0.357143,0.347826
0.214286,0.241379,0.214286,0.214286,0.230769,0.300000,0.240000,0.300000,0.300000,0.272727,0.300000
0.272727,0.290323,0.310345,0.281250,0.281250,0.310345,0.310345,0.310345,0.310345,0.310345,0.310345
0.341463,0.280000,0.318182,0.341463,0.350000,0.315789,0.315789,0.315789,0.315789,0.318182,0.315789
0.342105,0.342105,0.342105,0.342105,0.342105,0.413793,0.382353,0.387097,0.387097,0.363636,0.423077
0.258065,0.275862,0.260870,0.222222,0.240000,0.250000,0.260870,0.260870,0.260870,0.250000,0.260870
0.325581,0.350000,0.304348,0.341463,0.342857,0.296296,0.304348,0.307692,0.307692,0.354839,0.304348
0.317073,0.324324,0.333333,0.317073,0.315789,0.370370,0.343750,0.354839,0.409091,0.354839,0.380952
0.257143,0.250000,0.280000,0.257143,0.257143,0.269231,0.315789,0.315789,0.315789,0.257143,0.315789
0.192308,0.142857,0.142857,0.136364,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
0.400000,0.425532,0.450000,0.408163,0.416667,0.441176,0.457143,0.468750,0.468750,0.416667,0.451613
0.225806,0.173913,0.240000,0.233333,0.214286,0.157895,0.157895,0.157895,0.157895,0.157895,0.157895
0.277778,0.266667,0.260870,0.266667,0.269231,0.250000,0.260870,0.260870,0.260870,0.269231,0.260870
0.375000,0.400000,0.370370,0.375000,0.382353,0.370370,0.370370,0.370370,0.370370,0.414634,0.370370
0.290323,0.320000,0.320000,0.285714,0.296296,0.307692,0.333333,0.333333,0.347826,0.285714,0.347826
0.377778,0.388889,0.416667,0.368421,0.378378,0.388889,0.416667,0.400000,0.416667,0.368421,0.416667
0.166667,0.190476,0.210526,0.166667,0.181818,0.210526,0.210526,0.210526,0.210526,0.166667,0.210526
0.309524,0.333333,0.326087,0.309524,0.325000,0.351351,0.326087,0.363636,0.363636,0.325000,0.318182
0.325000,0.351351,0.318182,0.333333,0.333333,0.318182,0.318182,0.318182,0.318182,0.333333,0.318182
0.341463,0.342857,0.342857,0.350000,0.333333,0.363636,0.363636,0.363636,0.363636,0.363636,0.363636
0.305556,0.314286,0.323529,0.314286,0.333333,0.344828,0.344828,0.343750,0.357143,0.344828,0.370370
0.166667,0.181818,0.166667,0.181818,0.181818,0.210526,0.166667,0.166667,0.166667,0.200000,0.166667
0.200000,0.157895,0.150000,0.157895,0.150000,0.150000,0.150000,0.150000,0.150000,0.157895,0.157895
0.355556,0.269231,0.304348,0.358974,0.269231,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348
-1.000000,-1.000000,0.428571,-1.000000,-1.000000,0.468085,0.428571,0.407407,0.407407,0.468085,0.407407
0.241379,0.260870,0.260870,0.250000,0.259259,0.260870,0.260870,0.272727,0.272727,0.250000,0.272727
0.305556,0.312500,0.333333,0.303030,0.344828,0.357143,0.333333,0.357143,0.357143,0.357143,0.333333
0.350000,0.341463,0.400000,0.358974,0.368421,0.424242,0.411765,0.400000,0.400000,0.424242,0.433333
0.375000,0.418605,0.406250,0.382979,0.391304,0.419355,0.419355,0.393939,0.419355,0.393939,0.448276
0.258065,0.250000,0.260870,0.230769,0.260870,0.260870,0.260870,0.260870,0.260870,0.260870,0.250000
0.326087,0.312500,0.285714,0.277778,0.285714,0.263158,0.263158,0.263158,0.263158,0.320000,0.263158
0.233333,0.222222,0.190476,0.222222,0.240000,0.200000,0.200000,0.210526,0.210526,0.222222,0.210526
0.208333,0.227273,0.227273,0.208333,0.227273,0.227273,0.227273,0.227273,0.227273,0.227273,0.227273
0.233333,0.230769,0.157895,0.233333,0.157895,0.157895,0.157895,0.200000,0.200000,0.200000,0.157895
0.365385,0.386364,0.238095,0.367347,0.365385,0.238095,0.238095,0.238095,0.238095,0.386364,0.238095
0.303030,0.208333,0.238095,0.240000,0.208333,0.238095,0.238095,0.238095,0.238095,0.238095,0.238095
0.214286,0.181818,0.181818,0.222222,0.190476,0.190476,0.181818,0.190476,0.190476,0.181818,0.190476
0.222222,0.240000,0.260870,0.222222,0.240000,0.272727,0.272727,0.285714,0.285714,0.230769,0.285714
0.315789,0.343750,0.354839,0.324324,0.323529,0.323529,0.354839,0.333333,0.333333,0.323529,0.354839
0.206897,0.200000,0.217391,0.192308,0.192308,0.217391,0.217391,0.217391,0.217391,0.217391,0.217391
0.281250,0.264706,0.150000,0.290323,0.150000,0.150000,0.150000,0.150000,0.150000,0.310345,0.150000
0.206897,0.208333,0.227273,0.192308,0.200000,0.217391,0.227273,0.227273,0.227273,0.200000,0.227273
0.095238,0.105263,0.111111,0.095238,0.095238,0.111111,0.111111,0.111111,0.111111,0.095238,0.111111
0.136364,0.142857,0.136364,0.142857,0.136364,0.136364,0.136364,0.136364,0.136364,0.142857,0.142857
0.233333,0.241379,0.241379,0.233333,0.233333,0.300000,0.300000,0.285714,0.285714,0.233333,0.300000
0.192308,0.150000,0.150000,0.192308,0.150000,0.150000,0.150000,0.150000,0.150000,0.150000,0.150000
0.166667,0.190476,0.166667,0.166667,0.173913,0.200000,0.166667,0.166667,0.166667,0.166667,0.166667
0.241379,0.269231,0.280000,0.241379,0.269231,0.280000,0.280000,0.280000,0.280000,0.250000,0.280000
0.314286,0.323529,0.354839,0.314286,0.315789,0.323529,0.354839,0.384615,0.384615,0.354839,0.384615
0.266667,0.275862,0.333333,0.266667,0.266667,0.333333,0.333333,0.333333,0.333333,0.266667,0.333333
0.222222,0.260870,0.300000,0.230769,0.250000,0.260870,0.300000,0.285714,0.285714,0.260870,0.300000
0.333333,0.354167,0.363636,0.341463,0.363636,0.375000,0.375000,0.352941,0.375000,0.333333,0.375000
0.241379,0.241379,0.318182,0.250000,0.280000,0.318182,0.318182,0.318182,0.318182,0.269231,0.318182
0.333333,0.344828,0.333333,0.333333,0.333333,0.347826,0.347826,0.347826,0.347826,0.346154,0.347826
0.230769,0.190476,0.200000,0.230769,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
0.289474,0.303030,0.333333,0.297297,0.312500,0.333333,0.333333,0.333333,0.333333,0.294118,0.333333
0.340426,0.363636,0.375000,0.333333,0.342857,0.375000,0.375000,0.375000,0.375000,0.384615,0.375000
0.357143,0.300000,0.269231,0.300000,0.300000,0.304348,0.304348,0.291667,0.304348,0.310345,0.304348
0.303030,0.357143,0.333333,0.312500,0.312500,0.333333,0.333333,0.344828,0.344828,0.333333,0.384615
0.314286,0.333333,0.304348,0.323529,0.354839,0.333333,0.333333,0.333333,0.333333,0.354839,0.333333
0.257143,0.210526,0.210526,0.264706,0.264706,0.210526,0.210526,0.210526,0.210526,0.264706,0.210526
0.225806,0.241379,0.218750,0.233333,0.259259,0.285714,0.260870,0.285714,0.285714,0.259259,0.285714
0.361702,0.369565,0.382353,0.361702,0.372093,0.371429,0.382353,0.382353,0.382353,0.378378,0.382353
0.136364,0.157895,0.157895,0.136364,0.142857,0.157895,0.157895,0.157895,0.157895,0.157895,0.157895
0.354167,0.395349,0.435897,0.354167,0.361702,0.425000,0.459459,0.425000,0.447368,0.386364,0.459459
0.181818,0.190476,0.190476,0.181818,0.190476,0.190476,0.190476,0.173913,0.173913,0.190476,0.200000
0.294118,0.322581,0.333333,0.294118,0.344828,0.333333,0.333333,0.333333,0.333333,0.360000,0.333333
0.325000,0.310345,0.250000,0.285714,0.294118,0.250000,0.250000,0.250000,0.250000,0.294118,0.250000
0.222222,0.250000,0.230769,0.222222,0.266667,0.250000,0.250000,0.230769,0.240000,0.240000,0.260870
0.355556,0.368421,0.300000,0.355556,0.358974,0.300000,0.300000,0.300000,0.300000,0.363636,0.300000
0.300000,0.291667,0.333333,0.290323,0.300000,0.320000,0.320000,0.291667,0.291667,0.300000,0.304348
0.285714,0.290323,0.269231,0.285714,0.285714,0.260870,0.260870,0.260870,0.260870,0.294118,0.260870
0.173913,0.190476,0.210526,0.173913,0.210526,0.210526,0.210526,0.210526,0.210526,0.181818,0.210526
0.340909,0.371429,0.382353,0.341463,0.341463,0.434783,0.409091,0.419355,0.413793,0.358974,0.380952
0.250000,0.259259,0.269231,0.250000,0.250000,0.272727,0.272727,0.272727,0.272727,0.272727,0.272727
0.314286,0.296296,0.307692,0.314286,0.275862,0.307692,0.320000,0.333333,0.333333,0.307692,0.333333
0.403846,0.439024,0.483871,0.403846,0.400000,0.483871,0.483871,0.466667,0.500000,0.431818,0.481481
0.258065,0.269231,0.304348,0.266667,0.269231,0.280000,0.304348,0.291667,0.291667,0.280000,0.304348
0.185185,0.181818,0.222222,0.192308,0.181818,0.190476,0.222222,0.210526,0.210526,0.190476,0.222222
0.315789,0.324324,0.384615,0.315789,0.322581,0.357143,0.384615,0.384615,0.384615,0.322581,0.384615
